,date,carrier,cancelled,total_delay,cases
,,,mean,mean,mean
0,2018-01-01,AA,0.012190166598943519,22.032507110930517,0.0
1,2018-01-01,DL,0.0,8.402885682574917,0.0
2,2018-01-01,F9,0.010169491525423728,33.68474576271186,0.0
3,2018-01-01,NK,0.004357298474945534,17.18300653594771,0.0
4,2018-01-01,UA,0.0006337135614702154,9.628643852978454,0.0
5,2018-01-01,WN,0.0023993601706211675,17.724073580378565,0.0
6,2018-01-02,AA,0.005386687187379761,18.024624855713736,0.0
7,2018-01-02,DL,0.0,6.704594246457707,0.0
8,2018-01-02,F9,0.003289473684210526,29.19736842105263,0.0
9,2018-01-02,NK,0.0021929824561403508,23.583333333333332,0.0
10,2018-01-02,UA,0.0005875440658049354,8.267332549941246,0.0
11,2018-01-02,WN,0.0012926577042399173,11.616856256463288,0.0
12,2018-01-03,AA,0.0028665028665028664,12.388206388206388,0.0
13,2018-01-03,DL,0.0,7.401372997711671,0.0
14,2018-01-03,F9,0.0,25.658940397350992,0.0
15,2018-01-03,NK,0.004545454545454545,26.202272727272728,0.0
16,2018-01-03,UA,0.0036607687614399025,5.478340451494814,0.0
17,2018-01-03,WN,0.0013351134846461949,8.605073431241655,0.0
18,2018-01-04,AA,0.0050025012506253125,9.603801900950476,0.0
19,2018-01-04,DL,0.0005219206680584551,5.55062630480167,0.0
20,2018-01-04,F9,0.0,14.992565055762082,0.0
21,2018-01-04,NK,0.020527859237536656,7.785923753665689,0.0
22,2018-01-04,UA,0.0,5.80327868852459,0.0
23,2018-01-04,WN,0.0052417006406523005,4.752184041933605,0.0
24,2018-01-05,AA,0.004240882103477523,15.548346055979644,0.0
25,2018-01-05,DL,0.0027223230490018148,12.831215970961887,0.0
26,2018-01-05,F9,0.0033222591362126247,14.714285714285714,0.0
27,2018-01-05,NK,0.00936768149882904,10.754098360655737,0.0
28,2018-01-05,UA,0.003207184092366902,17.67350865939705,0.0
29,2018-01-05,WN,0.004341926729986432,6.1077340569877885,0.0
30,2018-01-06,AA,0.005785491766800178,10.278593680462839,0.0
31,2018-01-06,DL,0.0011607661056297156,9.211259431224608,0.0
32,2018-01-06,F9,0.00974025974025974,22.34090909090909,0.0
33,2018-01-06,NK,0.026373626373626374,11.23076923076923,0.0
34,2018-01-06,UA,0.0020833333333333333,9.195833333333333,0.0
35,2018-01-06,WN,0.0017385257301808068,5.7896383866481225,0.0
36,2018-01-07,AA,0.007197121151539384,13.98920431827269,0.0
37,2018-01-07,DL,0.0004257130693912303,11.609621115368242,0.0
38,2018-01-07,F9,0.012987012987012988,35.866883116883116,0.0
39,2018-01-07,NK,0.006578947368421052,10.778508771929825,0.0
40,2018-01-07,UA,0.0018796992481203006,14.648496240601503,0.0
41,2018-01-07,WN,0.0022142264046498754,7.3412676446166625,0.0
42,2018-01-08,AA,0.0012468827930174563,10.893599334995844,0.0
43,2018-01-08,DL,0.0,21.223487824037708,0.0
44,2018-01-08,F9,0.006493506493506494,40.201298701298704,0.0
45,2018-01-08,NK,0.008948545861297539,11.78523489932886,0.0
46,2018-01-08,UA,0.0013440860215053765,12.616935483870968,0.0
47,2018-01-08,WN,0.004749930148086058,9.98882369376921,0.0
48,2018-01-09,AA,0.00044603033006244426,9.910793933987511,0.0
49,2018-01-09,DL,0.0,4.876864081806562,0.0
50,2018-01-09,F9,0.009966777408637873,24.93687707641196,0.0
51,2018-01-09,NK,0.0044444444444444444,12.653333333333334,0.0
52,2018-01-09,UA,0.0,7.8401697312588405,0.0
53,2018-01-09,WN,0.02684749515637974,14.147522834209799,0.0
54,2018-01-10,AA,0.0028961522548613984,6.635498551923873,0.0
55,2018-01-10,DL,0.0,2.484785327219675,0.0
56,2018-01-10,F9,0.00949367088607595,13.598101265822784,0.0
57,2018-01-10,NK,0.008771929824561403,8.515350877192983,0.0
58,2018-01-10,UA,0.0,4.938461538461539,0.0
59,2018-01-10,WN,0.00804661487236404,7.109045504994451,0.0
60,2018-01-11,AA,0.0012249897917517355,8.91139240506329,0.0
61,2018-01-11,DL,0.0,7.174931667317454,0.0
62,2018-01-11,F9,0.003125,12.55625,0.0
63,2018-01-11,NK,0.004405286343612335,4.599118942731278,0.0
64,2018-01-11,UA,0.0,11.788474576271186,0.0
65,2018-01-11,WN,0.005006954102920723,10.573296244784423,0.0
66,2018-01-12,AA,0.0052104208416833666,14.944689378757515,0.0
67,2018-01-12,DL,0.0,25.548174048174047,0.0
68,2018-01-12,F9,0.00974025974025974,22.87987012987013,0.0
69,2018-01-12,NK,0.0022123893805309734,20.126106194690266,0.0
70,2018-01-12,UA,0.0,19.672654690618764,0.0
71,2018-01-12,WN,0.007175660160734788,16.685706084959815,0.0
72,2018-01-13,AA,0.0010136847440446021,6.440952863659402,0.0
73,2018-01-13,DL,0.0,4.752152521525216,0.0
74,2018-01-13,F9,0.0031446540880503146,25.264150943396228,0.0
75,2018-01-13,NK,0.0,3.120879120879121,0.0
76,2018-01-13,UA,0.0,3.808333333333333,0.0
77,2018-01-13,WN,0.0055807464248343215,4.3184513428671085,0.0
78,2018-01-14,AA,0.001762114537444934,3.9929515418502204,0.0
79,2018-01-14,DL,0.0,5.149064906490649,0.0
80,2018-01-14,F9,0.0,14.45625,0.0
81,2018-01-14,NK,0.0,4.965065502183406,0.0
82,2018-01-14,UA,0.0,3.309941520467836,0.0
83,2018-01-14,WN,0.00030376670716889426,4.102369380315918,0.0
84,2018-01-15,AA,0.0004286326618088298,9.889841405915131,0.0
85,2018-01-15,DL,0.0,10.539790996784566,0.0
